id;legoid;name;hex;r;g;b
153;1027;Modulex Light Yellow;FFE371;255;227;113
136;1010;Vintage Red;CA1F08;202;31;8
94;182;Trans-Orange;F08F1C;240;143;28
55;72;Dark Bluish Gray;6C6E68;108;110;104
123;462;Medium Orange;FFA70B;255;167;11
109;320;Dark Red;720E0F;114;14;15
115;335;Sand Red;D67572;214;117;114
9;8;Dark Gray;6D6E5C;109;110;92
13;12;Salmon;F2705E;242;112;94
42;47;Trans-Clear;FCFCFC;252;252;252
95;183;Pearl White;F2F3F2;242;243;242
60;77;Light Pink;FECCCF;254;204;207
104;288;Dark Green;184632;24;70;50
97;212;Bright Light Blue;9FC3E9;159;195;233
129;1003;Glitter Trans-Light Blue;68BCC5;104;188;197
85;137;Metal Blue;7988A1;121;136;161
32;33;Trans-Dark Blue;0020A0;0;32;160
39;43;Trans-Very Lt Blue;C1DFF0;193;223;240
113;326;Olive Green;9B9A5A;155;154;90
46;60;Chrome Antique Brass;645A4C;100;90;76
15;14;Yellow;F2CD37;242;205;55
61;78;Light Flesh;F6D7B3;246;215;179
11;10;Bright Green;4B9F4A;75;159;74
30;31;Lavender;E1D5ED;225;213;237
33;34;Trans-Green;84B68D;132;182;141
56;73;Medium Blue;5A93DB;90;147;219
80;129;Glitter Trans-Purple;A5A5CB;165;165;203
48;62;Chrome Green;3CB371;60;179;113
81;132;Speckle Black-Silver;05131D;5;19;29
131;1005;Trans-Fire Yellow;FBE890;251;232;144
133;1007;Reddish Lilac;8E5597;142;85;151
99;226;Bright Light Yellow;FFF03A;255;240;58
1;0;Black;05131D;5;19;29
2;1;Blue;0055BF;0;85;191
6;5;Dark Pink;C870A0;200;112;160
10;9;Light Blue;B4D2E3;180;210;227
14;13;Pink;FC97AC;252;151;172
17;17;Light Green;C2DAB8;194;218;184
19;19;Tan;E4CD9E;228;205;158
22;22;Purple;81007B;129;0;123
23;23;Dark Blue-Violet;2032B0;32;50;176
25;26;Magenta;923978;146;57;120
31;32;Trans-Black IR Lens;635F52;99;95;82
34;35;Trans-Bright Green;D9E4A7;217;228;167
37;41;Trans-Light Blue;AEEFEC;174;239;236
38;42;Trans-Neon Green;F8F184;248;241;132
43;52;Trans-Purple;A5A5CB;165;165;203
44;54;Trans-Neon Yellow;DAB000;218;176;0
45;57;Trans-Neon Orange;FF800D;255;128;13
53;70;Reddish Brown;582A12;88;42;18
54;71;Light Bluish Gray;A0A5A9;160;165;169
59;76;Speckle DBGray-Silver;6C6E68;108;110;104
62;79;Milky White;FFFFFF;255;255;255
66;84;Medium Dark Flesh;CC702A;204;112;42
68;86;Dark Flesh;7C503A;124;80;58
69;89;Royal Blue;4C61DB;76;97;219
71;100;Light Salmon;FEBABD;254;186;189
73;112;Blue-Violet;6874CA;104;116;202
77;118;Aqua;B3D7D1;179;215;209
78;120;Light Lime;D9E4A7;217;228;167
83;134;Copper;AE7A59;174;122;89
86;142;Pearl Light Gold;DCBC81;220;188;129
